team_key,team_name,Expected Points,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV,Expected Rank,name,rank,playoff_seed,wins,losses,ties,percentage,games_back
458.l.72362.t.7,Nate's Team,937.0,76.0,63.5,73.5,75.5,60.5,79.5,73.0,117.0,109.5,72.0,68.0,69.0,6,Schwollencocks,1,1,76,39,5,.654,-
458.l.72362.t.12,Woo-Tang Clan,1016.5,100.0,97.5,89.0,93.5,93.0,83.0,82.0,83.5,81.5,70.5,67.0,76.0,2,Woo-Tang Clan,2,2,70,44,6,.608,5.5
458.l.72362.t.9,Sweet Bibee Rays,951.0,75.0,76.5,66.5,55.5,76.0,89.0,100.5,122.0,111.0,76.5,80.5,22.0,5,Sweet Bibee Rays,3,3,65,52,3,.554,12
458.l.72362.t.11,Clase Closers,907.5,82.5,72.5,73.0,101.0,74.0,82.5,85.5,29.5,50.0,68.0,60.5,128.5,7,Clase Closers,4,4,62,51,7,.546,13
458.l.72362.t.5,Dante's Team,1029.0,102.5,91.5,103.5,107.5,93.5,85.5,79.0,72.0,62.5,85.5,90.0,56.0,1,Naylor Whenever I Kwant,5,5,61,53,6,.533,14.5
458.l.72362.t.14,WhatchYusei,980.5,69.5,72.0,88.5,80.5,92.0,86.5,93.0,85.0,88.5,69.5,78.0,77.5,3,WhatchYusei,6,6,57,56,7,.504,18
458.l.72362.t.13,Dawson's Team,867.0,57.5,64.5,73.0,97.0,44.0,55.5,64.5,96.0,86.0,66.5,67.0,95.5,10,Burnes til I’m Fried,7,7,59,58,3,.504,18
458.l.72362.t.3,Mr. Castillo Girl,955.0,76.5,92.5,79.5,53.0,84.5,81.0,72.0,95.0,86.0,76.5,73.5,85.0,4,Mr. Castillo Girl,8,8,58,57,5,.504,18
458.l.72362.t.4,Gabe's Team,875.5,64.5,93.0,75.0,33.5,84.0,58.0,62.0,69.0,64.0,76.0,81.5,115.0,9,Gallen of Semien,9,,57,57,6,.500,18.5
458.l.72362.t.8,Turang-a Leela,749.0,73.0,52.5,69.0,105.0,72.0,66.0,61.5,32.5,50.5,42.5,43.0,81.5,14,Turang-a Leela,10,,55,61,4,.475,21.5
458.l.72362.t.2,Jahn's Team,824.5,82.5,72.0,61.0,65.0,76.0,63.5,66.5,49.0,69.0,85.0,88.0,47.0,11,SHAWty Been ARANDA Block,11,,53,61,6,.467,22.5
458.l.72362.t.1,50 Shades of Greene,895.0,68.5,77.5,58.5,70.0,64.5,77.5,86.0,81.5,80.5,82.0,88.5,60.0,8,50 Shades of Greene,12,,51,62,7,.454,24
458.l.72362.t.6,David's Team,809.5,69.0,65.5,75.5,58.0,69.0,57.5,59.5,75.0,78.0,78.0,72.5,52.0,12,RBI’d for Her Pleasure,13,,46,67,7,.413,29
458.l.72362.t.10,Ian's Team,803.0,53.0,59.0,64.5,55.0,67.0,85.0,65.0,43.0,33.0,101.5,92.0,85.0,13,Legalize Nuclear Bohms,14,,32,84,4,.283,44.5
