week,stat,teams,val
1,R,Nate's Team,64.0
1,HR,"Gabe's Babes,Dante's Nice Team",17.0
1,RBI,Zach's Wheelers,62.0
1,SB,Matt in the Hat,13.0
1,TB,Zach's Wheelers,188.0
1,AVG,Zach's Wheelers,0.309
1,OBP,Zach's Wheelers,0.375
1,IP,Matt in the Hat,89.1
1,K,Matt in the Hat,103.0
1,ERA,Quovnobble's Unreal Team,1.82
1,WHIP,Quovnobble's Unreal Team,0.99
1,SV,"Matt in the Hat,Gabe's Babes",9.0
2,R,Gabe's Babes,48.0
2,HR,Gabe's Babes,17.0
2,RBI,Steak Strahmboli,51.0
2,SB,Matt in the Hat,12.0
2,TB,Gabe's Babes,131.0
2,AVG,Yanier? I hardly knew her!,0.303
2,OBP,Matt in the Hat,0.404
2,IP,David's Team,68.0
2,K,David's Team,72.0
2,ERA,Menessin' Around,1.36
2,WHIP,Menessin' Around,0.78
2,SV,"Rhys's & Royce's ACL,Gabe's Babes,Menessin' Around",6.0
3,R,Zach's Wheelers,44.0
3,HR,Zach's Wheelers,16.0
3,RBI,Menessin' Around,45.0
3,SB,David's Team,10.0
3,TB,Zach's Wheelers,129.0
3,AVG,Gabe's Babes,0.288
3,OBP,Zach's Wheelers,0.363
3,IP,Gabe's Babes,75.0
3,K,Matt in the Hat,86.0
3,ERA,Yanier? I hardly knew her!,1.84
3,WHIP,Yanier? I hardly knew her!,0.82
3,SV,Matt in the Hat,8.0
4,R,Gabe's Babes,38.0
4,HR,Quovnobble's Unreal Team,12.0
4,RBI,Quovnobble's Unreal Team,39.0
4,SB,David's Team,10.0
4,TB,Quovnobble's Unreal Team,110.0
4,AVG,David's Team,0.284
4,OBP,"Steak Strahmboli,David's Team",0.349
4,IP,Zach's Wheelers,66.1
4,K,Zach's Wheelers,75.0
4,ERA,Yanier? I hardly knew her!,1.85
4,WHIP,Yanier? I hardly knew her!,0.82
4,SV,"Jose's Clock Violators,Yanier? I hardly knew her!,Gabe's Babes,David's Team",6.0
5,R,David's Team,46.0
5,HR,"Quovnobble's Unreal Team,Gabe's Babes,Yanier? I hardly knew her!",13.0
5,RBI,Gabe's Babes,46.0
5,SB,Rhys's & Royce's ACL,9.0
5,TB,Gabe's Babes,127.0
5,AVG,Quovnobble's Unreal Team,0.305
5,OBP,Quovnobble's Unreal Team,0.392
5,IP,Nate's Team,67.1
5,K,Zach's Wheelers,65.0
5,ERA,David's Team,2.55
5,WHIP,David's Team,0.98
5,SV,Gabe's Babes,10.0
6,R,Zach's Wheelers,37.0
6,HR,"Rhys's & Royce's ACL,Nate's Team",11.0
6,RBI,Gabe's Babes,41.0
6,SB,"Yanier? I hardly knew her!,Matt in the Hat",10.0
6,TB,David's Team,107.0
6,AVG,Gabe's Babes,0.277
6,OBP,Zach's Wheelers,0.346
6,IP,Rhys's & Royce's ACL,76.0
6,K,Nate's Team,85.0
6,ERA,Gabe's Babes,2.14
6,WHIP,Steak Strahmboli,0.84
6,SV,Gabe's Babes,10.0
7,R,Zach's Wheelers,42.0
7,HR,Nate's Team,15.0
7,RBI,Nate's Team,46.0
7,SB,David's Team,13.0
7,TB,Nate's Team,128.0
7,AVG,Quovnobble's Unreal Team,0.302
7,OBP,Quovnobble's Unreal Team,0.385
7,IP,Jose's Clock Violators,71.1
7,K,Matt in the Hat,74.0
7,ERA,Steak Strahmboli,2.33
7,WHIP,Steak Strahmboli,1.09
7,SV,Gabe's Babes,9.0
8,R,Steak Strahmboli,43.0
8,HR,Steak Strahmboli,14.0
8,RBI,Jose's Clock Violators,44.0
8,SB,Rhys's & Royce's ACL,10.0
8,TB,Steak Strahmboli,128.0
8,AVG,Steak Strahmboli,0.308
8,OBP,"Steak Strahmboli,Gabe's Babes",0.376
8,IP,"Quovnobble's Unreal Team,Gabe's Babes",78.2
8,K,Gabe's Babes,87.0
8,ERA,Gabe's Babes,2.4
8,WHIP,Gabe's Babes,1.13
8,SV,Jose's Clock Violators,8.0
9,R,"Jose's Clock Violators,Nate's Team,Quovnobble's Unreal Team",33.0
9,HR,Menessin' Around,11.0
9,RBI,Yanier? I hardly knew her!,36.0
9,SB,Quovnobble's Unreal Team,12.0
9,TB,Zach's Wheelers,105.0
9,AVG,Zach's Wheelers,0.28
9,OBP,Jose's Clock Violators,0.347
9,IP,Matt in the Hat,82.1
9,K,Matt in the Hat,82.0
9,ERA,Yanier? I hardly knew her!,1.84
9,WHIP,Steak Strahmboli,0.99
9,SV,Steak Strahmboli,9.0
10,R,"Matt in the Hat,Nate's Team",40.0
10,HR,Nate's Team,15.0
10,RBI,Nate's Team,41.0
10,SB,"Matt in the Hat,Nate's Team",9.0
10,TB,Nate's Team,120.0
10,AVG,Matt in the Hat,0.303
10,OBP,Quovnobble's Unreal Team,0.372
10,IP,Nate's Team,81.0
10,K,Nate's Team,78.0
