week,stat,teams,val
10,ERA,Nate's Team,2.22
10,WHIP,Dante's Nice Team,0.78
10,SV,Gabe's Babes,8.0
11,R,Matt in the Hat,53.0
11,HR,Jose's Clock Violators,14.0
11,RBI,Steak Strahmboli,46.0
11,SB,Matt in the Hat,14.0
11,TB,"Matt in the Hat,David's Team",139.0
11,AVG,Matt in the Hat,0.333
11,OBP,Matt in the Hat,0.411
11,IP,Jose's Clock Violators,78.1
11,K,Jose's Clock Violators,92.0
11,ERA,Gabe's Babes,2.41
11,WHIP,Nate's Team,1.03
11,SV,Steak Strahmboli,8.0
12,R,Nate's Team,41.0
12,HR,Quovnobble's Unreal Team,16.0
12,RBI,Quovnobble's Unreal Team,54.0
12,SB,"Matt in the Hat,Steak Strahmboli",11.0
12,TB,Quovnobble's Unreal Team,128.0
12,AVG,Gabe's Babes,0.315
12,OBP,Gabe's Babes,0.396
12,IP,Nate's Team,92.2
12,K,Nate's Team,97.0
12,ERA,Yanier? I hardly knew her!,2.57
12,WHIP,Jose's Clock Violators,1.04
12,SV,"Gabe's Babes,Zach's Wheelers",9.0
13,R,Nate's Team,42.0
13,HR,Nate's Team,16.0
13,RBI,Matt in the Hat,43.0
13,SB,"Matt in the Hat,David's Team,Dante's Nice Team",8.0
13,TB,Nate's Team,129.0
13,AVG,Matt in the Hat,0.288
13,OBP,"Nate's Team,Gabe's Babes",0.348
13,IP,Quovnobble's Unreal Team,82.2
13,K,Quovnobble's Unreal Team,76.0
13,ERA,Steak Strahmboli,2.66
13,WHIP,Menessin' Around,0.86
13,SV,Gabe's Babes,8.0
14,R,"Gabe's Babes,Nate's Team",41.0
14,HR,Menessin' Around,17.0
14,RBI,Menessin' Around,45.0
14,SB,Nate's Team,13.0
14,TB,Quovnobble's Unreal Team,120.0
14,AVG,Nate's Team,0.283
14,OBP,Nate's Team,0.36
14,IP,Nate's Team,82.2
14,K,Nate's Team,89.0
14,ERA,Matt in the Hat,1.95
14,WHIP,Matt in the Hat,1.0
14,SV,"Gabe's Babes,David's Team",8.0
15,R,Nate's Team,67.0
15,HR,"David's Team,Nate's Team",22.0
15,RBI,Nate's Team,67.0
15,SB,Matt in the Hat,14.0
15,TB,Nate's Team,189.0
15,AVG,Dante's Nice Team,0.29
15,OBP,Dante's Nice Team,0.376
15,IP,Matt in the Hat,122.2
15,K,Matt in the Hat,111.0
15,ERA,Zach's Wheelers,3.17
15,WHIP,Steak Strahmboli,1.13
15,SV,Gabe's Babes,17.0
16,R,David's Team,43.0
16,HR,David's Team,17.0
16,RBI,David's Team,51.0
16,SB,Matt in the Hat,9.0
16,TB,David's Team,128.0
16,AVG,Yanier? I hardly knew her!,0.292
16,OBP,"Quovnobble's Unreal Team,Nate's Team",0.361
16,IP,Matt in the Hat,69.2
16,K,Nate's Team,73.0
16,ERA,Gabe's Babes,2.28
16,WHIP,Jose's Clock Violators,0.94
16,SV,Gabe's Babes,7.0
17,R,Quovnobble's Unreal Team,44.0
17,HR,"Yanier? I hardly knew her!,Menessin' Around",17.0
17,RBI,Matt in the Hat,44.0
17,SB,Matt in the Hat,14.0
17,TB,Quovnobble's Unreal Team,134.0
17,AVG,Gabe's Babes,0.32
17,OBP,Gabe's Babes,0.393
17,IP,Matt in the Hat,92.1
17,K,Matt in the Hat,89.0
17,ERA,David's Team,2.84
17,WHIP,David's Team,0.95
17,SV,"Gabe's Babes,Zach's Wheelers",9.0
18,R,Matt in the Hat,47.0
18,HR,David's Team,13.0
18,RBI,Rhys's & Royce's ACL,46.0
18,SB,Yanier? I hardly knew her!,11.0
18,TB,Matt in the Hat,126.0
18,AVG,Dante's Nice Team,0.331
18,OBP,Dante's Nice Team,0.408
18,IP,David's Team,91.2
18,K,David's Team,89.0
18,ERA,Jose's Clock Violators,2.13
18,WHIP,Menessin' Around,0.95
18,SV,"Jose's Clock Violators,Quovnobble's Unreal Team",7.0
19,R,Steak Strahmboli,50.0
19,HR,Steak Strahmboli,17.0
19,RBI,Steak Strahmboli,61.0
19,SB,Steak Strahmboli,9.0
19,TB,Steak Strahmboli,162.0
19,AVG,Steak Strahmboli,0.33
19,OBP,Steak Strahmboli,0.386
19,IP,Nate's Team,75.2
19,K,Matt in the Hat,74.0
19,ERA,Zach's Wheelers,2.03
19,WHIP,Menessin' Around,1.06
19,SV,Zach's Wheelers,8.0
20,R,Nate's Team,44.0
20,HR,Steak Strahmboli,18.0
20,RBI,David's Team,48.0
20,SB,"Nate's Team,David's Team",11.0
20,TB,Quovnobble's Unreal Team,139.0
20,AVG,Quovnobble's Unreal Team,0.343
20,OBP,Quovnobble's Unreal Team,0.396
20,IP,Quovnobble's Unreal Team,77.0
20,K,Menessin' Around,88.0
20,ERA,Matt in the Hat,2.47
20,WHIP,Menessin' Around,0.86
20,SV,"Jose's Clock Violators,Gabe's Babes",7.0
21,R,Matt in the Hat,51.0
21,HR,Matt in the Hat,21.0
21,RBI,Matt in the Hat,49.0
21,SB,"Dante's Nice Team,Matt in the Hat",9.0
21,TB,Matt in the Hat,150.0
21,AVG,Yanier? I hardly knew her!,0.29
21,OBP,Yanier? I hardly knew her!,0.378
21,IP,Matt in the Hat,74.2
21,K,Matt in the Hat,73.0
21,ERA,Steak Strahmboli,2.52
21,WHIP,Jose's Clock Violators,1.16
21,SV,"Rhys's & Royce's ACL,Zach's Wheelers",9.0
