week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
4,5,431.l.120609.t.8,8,This Means Schwar,1,63/250,32,10,27,6,105,.252,.319,60.2,52,3.71,0.87,4
4,5,431.l.120609.t.10,10,Pfaadt and JungOber,0,51/227,22,2,24,12,69,.225,.288,74.0,83,2.55,1.04,3
4,6,431.l.120609.t.12,12,Arraez Con Pollo,0,58/240,33,5,15,4,85,.242,.308,51.0,40,4.76,1.59,7
4,6,431.l.120609.t.13,13,Bookie Betts,1,60/219,30,7,24,5,96,.274,.331,58.2,63,2.45,1.04,6
5,0,431.l.120609.t.1,1,Shawty Got Soto,0,46/198,20,6,25,6,74,.232,.317,68.0,59,2.12,1.00,5
5,0,431.l.120609.t.2,2,Jahn's EnDevers,1,67/227,33,8,25,8,108,.295,.363,33.0,35,4.64,1.33,4
5,1,431.l.120609.t.3,3,Mr. Castillo Girl,0,47/207,29,7,28,8,80,.227,.293,55.2,75,3.40,0.90,1
5,1,431.l.120609.t.6,6,David's Team,1,62/221,26,10,39,4,99,.281,.337,42.2,30,3.38,1.05,4
5,2,431.l.120609.t.4,4,Gabe's Team,1,60/238,27,6,27,5,94,.252,.330,37.0,38,2.19,1.08,5
5,2,431.l.120609.t.8,8,This Means Schwar,0,41/224,25,3,26,5,60,.183,.283,52.0,55,1.73,0.90,4
5,3,431.l.120609.t.5,5,Ohtani's Casino,-1,48/183,31,7,19,7,81,.262,.381,42.0,37,4.93,1.24,5
5,3,431.l.120609.t.9,9,The Will Smith Slappers,-1,39/208,22,7,19,4,69,.188,.269,49.1,55,3.10,1.16,8
5,4,431.l.120609.t.7,7,Nate's Team,0,40/200,26,3,14,3,67,.200,.278,60.0,65,3.15,0.97,6
5,4,431.l.120609.t.12,12,Arraez Con Pollo,1,70/249,38,2,27,9,101,.281,.331,55.0,45,2.29,1.07,4
5,5,431.l.120609.t.10,10,Pfaadt and JungOber,-1,32/181,17,2,14,7,48,.177,.265,57.0,51,2.84,1.23,4
5,5,431.l.120609.t.13,13,Bookie Betts,-1,51/242,22,5,23,5,75,.211,.263,50.2,52,4.80,1.32,3
5,6,431.l.120609.t.11,11,Bohms Away,0,47/216,24,9,30,2,79,.218,.317,57.2,54,4.99,1.25,4
5,6,431.l.120609.t.14,14,Since You've Been Kwan,1,59/239,35,11,38,7,108,.247,.338,52.1,51,4.30,1.18,3
6,0,431.l.120609.t.1,1,Shawty Got Soto,0,57/182,26,8,33,2,92,.313,.403,54.0,57,4.33,1.28,3
6,0,431.l.120609.t.5,5,Ohtani's Casino,1,60/212,36,10,44,13,100,.283,.377,46.2,40,3.47,1.03,4
6,1,431.l.120609.t.2,2,Jahn's EnDevers,0,52/226,28,8,25,4,92,.230,.289,49.1,33,2.55,1.22,5
6,1,431.l.120609.t.14,14,Since You've Been Kwan,1,63/233,28,12,42,6,113,.270,.332,47.2,46,6.42,1.49,3
6,2,431.l.120609.t.3,3,Mr. Castillo Girl,0,41/190,23,5,18,3,65,.216,.273,75.1,69,3.11,1.08,2
6,2,431.l.120609.t.8,8,This Means Schwar,1,57/210,35,12,40,3,114,.271,.339,39.1,50,2.97,1.02,5
6,3,431.l.120609.t.4,4,Gabe's Team,0,44/221,25,10,21,1,78,.199,.257,53.2,57,5.03,1.25,4
6,3,431.l.120609.t.10,10,Pfaadt and JungOber,1,59/215,34,11,27,10,104,.274,.347,70.2,64,3.44,1.06,2
6,4,431.l.120609.t.6,6,David's Team,1,55/231,24,5,31,7,84,.238,.310,71.0,85,2.66,1.10,5
6,4,431.l.120609.t.9,9,The Will Smith Slappers,0,33/172,21,5,19,4,54,.192,.314,71.0,63,2.54,1.04,8
6,5,431.l.120609.t.7,7,Nate's Team,-1,48/188,28,6,20,4,76,.255,.319,59.1,50,4.85,1.35,5
6,5,431.l.120609.t.13,13,Bookie Betts,-1,50/188,25,10,18,4,90,.266,.333,52.0,50,4.33,1.37,1
6,6,431.l.120609.t.11,11,Bohms Away,1,56/237,35,11,32,5,107,.236,.302,49.2,41,3.08,1.11,5
6,6,431.l.120609.t.12,12,Arraez Con Pollo,0,60/226,32,5,20,3,94,.265,.332,53.0,49,3.23,1.38,3
7,0,431.l.120609.t.1,1,Shawty Got Soto,1,62/233,30,11,33,4,113,.266,.322,50.0,41,2.70,1.12,3
7,0,431.l.120609.t.6,6,David's Team,0,62/251,26,5,21,2,90,.247,.279,64.2,66,2.51,1.28,4
7,1,431.l.120609.t.2,2,Jahn's EnDevers,0,63/224,31,8,29,6,95,.281,.344,78.0,69,3.35,1.22,6
7,1,431.l.120609.t.12,12,Arraez Con Pollo,1,67/243,40,10,29,4,113,.276,.344,69.2,67,2.97,1.06,5
7,2,431.l.120609.t.3,3,Mr. Castillo Girl,0,46/198,29,4,17,9,69,.232,.339,38.0,37,5.21,1.39,2
7,2,431.l.120609.t.10,10,Pfaadt and JungOber,1,49/202,31,7,29,3,87,.243,.308,54.1,54,4.14,1.14,3
7,3,431.l.120609.t.4,4,Gabe's Team,-1,49/203,28,7,24,0,82,.241,.284,34.2,38,2.08,0.98,3
7,3,431.l.120609.t.13,13,Bookie Betts,-1,47/201,28,7,19,1,75,.234,.329,48.2,51,2.77,0.99,4
7,4,431.l.120609.t.5,5,Ohtani's Casino,1,66/246,36,9,34,14,107,.268,.336,52.0,46,2.42,0.92,2
7,4,431.l.120609.t.14,14,Since You've Been Kwan,0,49/204,17,3,30,5,72,.240,.318,60.1,64,2.83,1.04,4
7,5,431.l.120609.t.7,7,Nate's Team,0,33/184,24,5,14,1,59,.179,.256,55.0,61,3.27,1.24,6
7,5,431.l.120609.t.11,11,Bohms Away,1,54/225,26,9,33,4,98,.240,.300,53.1,58,3.88,1.11,5
7,6,431.l.120609.t.8,8,This Means Schwar,0,55/225,25,7,26,1,90,.244,.328,45.0,52,3.80,0.93,3
7,6,431.l.120609.t.9,9,The Will Smith Slappers,1,48/177,26,8,20,5,83,.271,.368,60.1,49,3.28,1.24,5
8,0,431.l.120609.t.1,1,Shawty Got Soto,1,56/231,34,16,38,4,115,.242,.315,76.0,66,4.26,1.17,7
8,0,431.l.120609.t.8,8,This Means Schwar,0,55/228,32,5,30,3,87,.241,.326,71.1,79,4.79,1.40,4
8,1,431.l.120609.t.2,2,Jahn's EnDevers,-1,43/212,33,8,21,3,74,.203,.300,61.2,54,3.21,1.17,1
8,1,431.l.120609.t.7,7,Nate's Team,-1,32/159,17,2,18,5,48,.201,.282,67.0,85,2.82,0.94,7
8,2,431.l.120609.t.3,3,Mr. Castillo Girl,1,58/221,30,9,29,8,104,.262,.329,54.2,53,2.30,1.13,3
8,2,431.l.120609.t.4,4,Gabe's Team,0,55/241,29,11,32,3,96,.228,.293,53.0,41,1.87,0.91,4
