week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
3,3,422.l.132070.t.4,4,Gabe's Babes,1,72/250,40,13,37,0,127,.288,.353,75.0,75,4.32,1.13,4
3,3,422.l.132070.t.8,8,Nate's Team,0,51/217,32,8,30,2,86,.235,.323,56.1,62,4.31,1.22,5
3,4,422.l.132070.t.5,5,Dante's Nice Team,0,47/213,27,5,23,3,72,.221,.289,35.2,30,5.80,1.40,1
3,4,422.l.132070.t.12,12,Zach's Wheelers,1,69/242,44,16,42,6,129,.285,.363,49.2,48,3.44,1.13,2
3,5,422.l.132070.t.6,6,Steak Strahmboli,0,61/229,35,8,20,3,95,.266,.349,40.2,48,4.20,1.08,5
3,5,422.l.132070.t.7,7,David's Team,1,59/255,42,11,37,10,104,.231,.306,40.0,38,2.48,1.08,1
4,0,422.l.132070.t.1,1,Jose's Clock Violators,1,63/224,34,9,29,2,101,.281,.348,58.1,65,4.47,1.22,6
4,0,422.l.132070.t.11,11,Menessin' Around,0,50/207,25,4,23,1,74,.242,.298,27.1,35,3.95,1.21,3
4,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,45/202,28,11,28,2,88,.223,.333,56.1,60,4.79,1.19,4
4,1,422.l.132070.t.12,12,Zach's Wheelers,1,61/247,35,10,33,8,109,.247,.313,66.1,75,4.21,1.37,2
4,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,59/219,32,12,39,8,110,.269,.324,65.0,64,4.15,1.29,2
4,2,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,46/226,24,7,24,5,81,.204,.281,48.2,53,1.85,0.82,6
4,3,422.l.132070.t.4,4,Gabe's Babes,1,51/221,38,10,28,1,91,.231,.295,63.0,66,2.57,1.10,6
4,3,422.l.132070.t.6,6,Steak Strahmboli,0,55/211,25,5,17,5,84,.261,.349,51.2,62,6.10,1.51,5
4,4,422.l.132070.t.5,5,Dante's Nice Team,0,50/204,29,9,25,0,85,.245,.346,47.2,54,2.83,0.90,2
4,4,422.l.132070.t.7,7,David's Team,1,66/232,27,6,33,10,101,.284,.349,49.1,52,4.38,1.34,6
4,5,422.l.132070.t.8,8,Nate's Team,1,56/236,35,10,23,9,100,.237,.327,57.0,49,3.79,1.25,5
4,5,422.l.132070.t.10,10,Matt in the Hat,0,45/207,23,4,28,5,71,.217,.269,62.1,63,3.32,1.12,3
5,0,422.l.132070.t.1,1,Jose's Clock Violators,0,57/217,26,8,25,1,93,.263,.336,50.0,62,4.32,1.40,4
5,0,422.l.132070.t.12,12,Zach's Wheelers,1,65/240,33,7,32,3,108,.271,.351,62.0,65,3.34,1.23,4
5,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,49/241,30,7,22,9,84,.203,.301,52.1,55,5.50,1.41,3
5,1,422.l.132070.t.7,7,David's Team,1,73/262,46,11,30,3,125,.279,.341,60.0,54,2.55,0.98,4
5,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,68/223,44,13,45,6,122,.305,.392,60.0,62,5.55,1.37,1
5,2,422.l.132070.t.11,11,Menessin' Around,0,53/198,32,9,33,1,84,.268,.370,37.2,42,4.30,1.25,3
5,3,422.l.132070.t.4,4,Gabe's Babes,1,70/257,39,13,46,2,127,.272,.375,50.0,57,3.24,1.06,10
5,3,422.l.132070.t.5,5,Dante's Nice Team,0,57/204,32,8,29,2,98,.279,.341,30.1,26,5.34,1.48,1
5,4,422.l.132070.t.6,6,Steak Strahmboli,0,56/240,32,8,23,7,95,.233,.310,40.1,43,4.69,1.51,3
5,4,422.l.132070.t.8,8,Nate's Team,1,60/241,38,6,35,2,90,.249,.323,67.1,64,4.28,1.28,4
5,5,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,53/218,37,13,29,6,103,.243,.318,41.1,45,3.48,1.33,2
5,5,422.l.132070.t.10,10,Matt in the Hat,1,66/240,34,12,45,3,114,.275,.338,64.1,58,4.20,1.23,2
6,0,422.l.132070.t.1,1,Jose's Clock Violators,0,49/221,29,9,23,0,82,.222,.314,63.1,59,3.55,1.09,6
6,0,422.l.132070.t.7,7,David's Team,1,57/233,36,10,36,7,107,.245,.333,57.1,56,4.71,1.45,6
6,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,50/200,26,11,30,5,94,.250,.338,76.0,64,3.32,1.21,3
6,1,422.l.132070.t.4,4,Gabe's Babes,1,61/220,25,8,41,2,103,.277,.335,67.1,75,2.14,1.11,10
6,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,56/225,30,6,22,8,84,.249,.321,71.0,73,3.42,1.11,5
6,2,422.l.132070.t.12,12,Zach's Wheelers,1,55/211,37,10,30,9,100,.261,.346,45.0,37,3.20,1.20,2
6,3,422.l.132070.t.5,5,Dante's Nice Team,-1,43/158,17,8,23,1,78,.272,.329,57.2,56,3.59,1.18,1
6,3,422.l.132070.t.6,6,Steak Strahmboli,-1,44/207,26,2,12,4,59,.213,.279,51.0,60,2.65,0.84,5
6,4,422.l.132070.t.8,8,Nate's Team,1,52/230,28,11,33,1,99,.226,.304,72.1,85,2.24,1.05,7
6,4,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,58/229,31,8,35,10,94,.253,.319,43.2,55,3.30,1.10,2
6,5,422.l.132070.t.10,10,Matt in the Hat,0,51/215,26,5,18,10,78,.237,.305,62.0,56,3.77,1.19,1
6,5,422.l.132070.t.11,11,Menessin' Around,1,57/211,20,5,29,3,82,.270,.339,41.1,35,3.70,1.16,2
7,0,422.l.132070.t.1,1,Jose's Clock Violators,0,50/229,28,11,31,4,94,.218,.281,71.1,70,3.91,1.19,3
7,0,422.l.132070.t.4,4,Gabe's Babes,1,70/256,37,11,33,3,114,.273,.327,63.2,58,3.11,1.30,9
7,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,1,51/212,36,10,27,4,89,.241,.340,62.1,64,5.34,1.41,7
7,1,422.l.132070.t.6,6,Steak Strahmboli,0,46/217,36,6,26,3,74,.212,.333,54.0,61,2.33,1.09,5
7,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,61/202,30,7,38,7,99,.302,.385,54.0,66,5.00,1.22,2
7,2,422.l.132070.t.7,7,David's Team,1,62/233,33,9,32,13,112,.266,.340,63.1,69,4.12,1.29,4
7,3,422.l.132070.t.5,5,Dante's Nice Team,0,43/178,20,5,20,4,70,.242,.279,34.1,40,3.93,1.22,0
7,3,422.l.132070.t.8,8,Nate's Team,1,64/243,37,15,46,5,128,.263,.321,59.1,69,3.94,1.11,6
7,4,422.l.132070.t.9,9,Yanier? I hardly knew her!,1,59/221,33,9,37,8,97,.267,.356,60.2,64,4.01,1.27,4
7,4,422.l.132070.t.11,11,Menessin' Around,0,52/192,29,10,35,0,95,.271,.344,35.2,41,3.53,1.18,2
7,5,422.l.132070.t.10,10,Matt in the Hat,1,63/246,35,13,35,4,118,.256,.310,66.1,74,4.07,1.28,1
7,5,422.l.132070.t.12,12,Zach's Wheelers,0,57/251,42,7,26,2,91,.227,.287,58.0,60,4.81,1.33,1
8,0,422.l.132070.t.1,1,Jose's Clock Violators,-1,63/224,30,13,44,2,120,.281,.336,48.0,53,3.75,1.21,8
8,0,422.l.132070.t.6,6,Steak Strahmboli,-1,72/234,43,14,39,6,128,.308,.376,43.0,52,4.40,1.49,6
8,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,1,52/235,30,11,29,10,96,.221,.290,56.1,52,4.47,1.47,4
8,1,422.l.132070.t.5,5,Dante's Nice Team,0,37/154,14,3,16,1,51,.240,.298,31.1,43,6.61,1.53,0
8,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,72/249,40,8,35,8,117,.289,.371,78.2,75,3.20,1.17,2
8,2,422.l.132070.t.4,4,Gabe's Babes,1,67/222,38,11,29,1,122,.302,.376,78.2,87,2.40,1.13,6
8,3,422.l.132070.t.7,7,David's Team,0,55/240,30,7,27,8,95,.229,.287,49.1,58,3.28,1.14,5
8,3,422.l.132070.t.10,10,Matt in the Hat,1,56/262,37,12,35,7,104,.214,.268,68.2,72,4.72,1.35,6
8,4,422.l.132070.t.8,8,Nate's Team,1,57/263,31,9,27,4,95,.217,.287,65.2,54,4.39,1.29,5
8,4,422.l.132070.t.11,11,Menessin' Around,0,48/223,21,8,32,2,82,.215,.267,29.2,29,3.64,1.35,2
8,5,422.l.132070.t.9,9,Yanier? I hardly knew her!,-1,54/217,34,8,31,9,92,.249,.328,38.0,37,3.79,1.18,5
8,5,422.l.132070.t.12,12,Zach's Wheelers,-1,69/270,31,7,33,2,113,.256,.330,69.1,71,6.49,1.47,1
9,0,422.l.132070.t.1,1,Jose's Clock Violators,1,58/217,33,5,25,3,84,.267,.347,32.1,41,3.62,1.18,5
9,0,422.l.132070.t.5,5,Dante's Nice Team,0,50/182,21,6,20,3,83,.275,.313,28.0,29,4.18,1.11,0
9,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,48/216,24,4,18,10,71,.222,.281,47.1,48,3.80,1.18,4
9,1,422.l.132070.t.8,8,Nate's Team,1,57/216,33,10,30,4,99,.264,.316,71.1,65,4.29,1.21,4
9,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,61/229,33,8,29,12,103,.266,.339,63.2,72,2.97,1.07,7
9,2,422.l.132070.t.6,6,Steak Strahmboli,0,48/210,24,6,23,6,73,.229,.280,55.2,63,2.26,0.99,9
9,3,422.l.132070.t.4,4,Gabe's Babes,0,50/236,18,5,27,4,77,.212,.277,67.1,70,2.54,1.23,7
9,3,422.l.132070.t.10,10,Matt in the Hat,1,49/221,28,8,29,6,86,.222,.289,82.1,82,4.70,1.29,8
9,4,422.l.132070.t.7,7,David's Team,-1,58/233,29,9,29,4,98,.249,.336,54.0,44,5.00,1.41,5
9,4,422.l.132070.t.9,9,Yanier? I hardly knew her!,-1,64/239,27,6,36,9,96,.268,.344,49.0,42,1.84,1.02,4
9,5,422.l.132070.t.11,11,Menessin' Around,0,53/206,29,11,34,2,97,.257,.319,49.0,48,3.49,1.35,1
9,5,422.l.132070.t.12,12,Zach's Wheelers,1,67/239,30,8,32,3,105,.280,.332,59.2,58,2.11,1.01,3
10,0,422.l.132070.t.1,1,Jose's Clock Violators,1,64/220,39,10,31,3,108,.291,.359,60.2,64,4.45,1.19,6
10,0,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,46/214,26,6,23,8,69,.215,.310,45.0,49,6.20,1.49,3
10,1,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,63/222,37,6,33,2,95,.284,.372,61.0,61,4.57,1.41,1
10,1,422.l.132070.t.5,5,Dante's Nice Team,0,37/158,20,10,26,6,74,.234,.309,47.1,57,2.28,0.78,0
10,2,422.l.132070.t.4,4,Gabe's Babes,1,50/205,26,10,33,2,90,.244,.330,60.1,60,3.13,1.08,8
10,2,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,61/240,33,6,26,8,96,.254,.323,53.1,47,4.05,1.35,6
10,3,422.l.132070.t.6,6,Steak Strahmboli,0,50/193,39,11,29,3,95,.259,.353,52.1,56,2.92,1.03,5
10,3,422.l.132070.t.10,10,Matt in the Hat,1,71/234,40,9,39,9,115,.303,.344,62.2,58,4.88,1.36,5
10,4,422.l.132070.t.7,7,David's Team,1,51/240,32,12,28,7,100,.213,.294,43.2,50,3.09,1.01,5
10,4,422.l.132070.t.11,11,Menessin' Around,0,54/189,25,11,27,0,101,.286,.349,33.1,37,4.05,1.50,2
10,5,422.l.132070.t.8,8,Nate's Team,1,62/232,40,15,41,9,120,.267,.344,81.0,78,2.22,1.06,5
10,5,422.l.132070.t.12,12,Zach's Wheelers,0,53/244,26,7,28,1,87,.217,.296,63.2,59,5.51,1.49,2
11,0,422.l.132070.t.1,1,Jose's Clock Violators,1,58/227,43,14,39,2,110,.256,.356,78.1,92,3.33,1.21,3
11,0,422.l.132070.t.8,8,Nate's Team,0,53/225,31,10,35,6,96,.236,.318,78.0,74,3.12,1.03,5
11,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,57/202,38,10,31,3,101,.282,.383,66.0,63,3.95,1.23,7
11,1,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,77/254,36,11,40,9,126,.303,.373,73.0,75,4.93,1.60,1
11,2,422.l.132070.t.4,4,Gabe's Babes,1,43/196,27,10,23,2,83,.219,.323,56.0,58,2.41,1.13,6
11,2,422.l.132070.t.11,11,Menessin' Around,0,51/186,22,6,30,3,86,.274,.343,30.0,29,6.30,1.37,3
11,3,422.l.132070.t.5,5,Dante's Nice Team,0,43/167,24,6,19,5,76,.257,.314,26.1,26,5.13,1.67,0
11,3,422.l.132070.t.10,10,Matt in the Hat,1,82/246,53,12,42,14,139,.333,.411,37.1,39,2.89,1.15,3
11,4,422.l.132070.t.6,6,Steak Strahmboli,1,61/228,31,12,46,5,108,.268,.344,47.2,47,6.61,1.51,8
11,4,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,53/238,29,9,29,8,87,.223,.307,45.0,42,3.40,1.24,6
11,5,422.l.132070.t.7,7,David's Team,1,75/258,44,13,45,6,139,.291,.371,50.2,46,4.62,1.24,3
11,5,422.l.132070.t.12,12,Zach's Wheelers,0,69/242,33,9,42,3,114,.285,.347,55.0,55,6.05,1.58,2
12,0,422.l.132070.t.1,1,Jose's Clock Violators,-1,61/226,30,10,22,6,101,.270,.340,74.0,78,2.68,1.04,8
12,0,422.l.132070.t.3,3,Quovnobble's Unreal Team,-1,64/229,37,16,54,5,128,.279,.351,70.1,71,2.69,1.09,3
12,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,46/224,24,4,22,10,69,.205,.287,54.0,61,3.67,1.46,5
12,1,422.l.132070.t.10,10,Matt in the Hat,1,55/226,27,7,23,11,87,.243,.296,64.1,68,3.78,1.17,5
12,2,422.l.132070.t.4,4,Gabe's Babes,1,70/222,34,9,37,3,106,.315,.396,66.1,70,3.26,1.09,9
12,2,422.l.132070.t.12,12,Zach's Wheelers,0,64/232,37,9,35,4,107,.276,.337,60.2,61,4.30,1.20,9
12,3,422.l.132070.t.5,5,Dante's Nice Team,0,34/141,21,6,15,2,60,.241,.294,38.0,52,3.79,1.05,0
12,3,422.l.132070.t.9,9,Yanier? I hardly knew her!,1,59/229,27,11,41,5,106,.258,.319,42.0,38,2.57,1.12,3
12,4,422.l.132070.t.6,6,Steak Strahmboli,1,43/204,32,7,21,11,68,.211,.281,41.0,43,5.27,1.32,7
12,4,422.l.132070.t.11,11,Menessin' Around,0,32/159,12,5,17,1,55,.201,.263,48.0,47,3.75,1.06,2
12,5,422.l.132070.t.7,7,David's Team,1,64/229,40,11,39,8,114,.279,.353,91.2,96,3.93,1.19,8
12,5,422.l.132070.t.8,8,Nate's Team,0,57/226,41,9,25,7,97,.252,.329,92.2,97,3.01,1.14,5
13,0,422.l.132070.t.1,1,Jose's Clock Violators,0,48/208,25,10,30,3,87,.231,.289,63.0,62,4.71,1.24,3
13,0,422.l.132070.t.10,10,Matt in the Hat,1,68/236,39,13,43,8,121,.288,.333,76.1,74,3.89,1.23,3
13,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,53/212,26,6,28,3,80,.250,.321,73.1,69,5.65,1.34,3
13,1,422.l.132070.t.9,9,Yanier? I hardly knew her!,1,57/224,29,11,35,2,105,.254,.339,58.1,55,3.24,1.23,2
13,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,61/240,29,3,33,4,84,.254,.317,82.2,76,3.59,1.32,2
13,2,422.l.132070.t.8,8,Nate's Team,1,66/240,42,16,38,7,129,.275,.348,66.1,71,6.38,1.25,2
13,3,422.l.132070.t.4,4,Gabe's Babes,-1,61/221,32,14,36,3,114,.276,.348,46.2,62,5.01,1.14,8
13,3,422.l.132070.t.7,7,David's Team,-1,54/226,37,9,38,8,97,.239,.326,65.0,58,3.32,1.05,7
13,4,422.l.132070.t.5,5,Dante's Nice Team,1,58/217,34,11,32,8,106,.267,.347,38.2,44,5.59,1.42,2
13,4,422.l.132070.t.11,11,Menessin' Around,0,54/221,31,10,35,1,94,.244,.299,44.1,58,3.05,0.86,2
13,5,422.l.132070.t.6,6,Steak Strahmboli,0,47/199,25,6,28,4,76,.236,.329,50.2,69,2.66,1.11,6
13,5,422.l.132070.t.12,12,Zach's Wheelers,1,63/245,38,12,38,6,117,.257,.324,52.2,53,4.27,1.18,4
14,0,422.l.132070.t.1,1,Jose's Clock Violators,1,53/230,26,7,23,3,85,.230,.298,57.1,64,5.49,1.45,4
14,0,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,55/259,31,7,20,11,89,.212,.279,57.0,51,2.68,1.25,3
14,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,1,61/250,37,10,27,2,105,.244,.334,60.2,63,3.71,1.32,3
14,1,422.l.132070.t.11,11,Menessin' Around,0,53/221,37,17,45,2,115,.240,.329,37.2,44,5.02,1.14,2
14,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,65/249,36,13,34,4,120,.261,.320,73.0,57,2.47,1.01,5
14,2,422.l.132070.t.10,10,Matt in the Hat,1,66/245,34,5,30,5,96,.269,.322,73.2,83,1.95,1.00,5
14,3,422.l.132070.t.4,4,Gabe's Babes,0,62/233,41,12,37,7,115,.266,.357,62.0,86,2.47,1.11,8
14,3,422.l.132070.t.8,8,Nate's Team,1,66/233,41,9,23,13,108,.283,.360,82.2,89,3.48,1.06,6
14,4,422.l.132070.t.5,5,Dante's Nice Team,1,58/222,30,12,34,7,109,.261,.331,50.0,51,3.60,1.18,2
14,4,422.l.132070.t.12,12,Zach's Wheelers,0,55/246,37,5,29,2,85,.224,.306,49.2,38,5.07,1.49,4
14,5,422.l.132070.t.6,6,Steak Strahmboli,0,65/248,30,6,31,10,94,.262,.324,44.0,43,3.07,1.16,5
14,5,422.l.132070.t.7,7,David's Team,1,60/242,38,9,27,6,101,.248,.331,69.1,63,3.25,1.07,8
15,0,422.l.132070.t.1,1,Jose's Clock Violators,0,62/298,30,7,26,4,101,.208,.272,80.0,80,5.06,1.19,6
15,0,422.l.132070.t.11,11,Menessin' Around,1,80/332,41,8,40,2,120,.241,.315,63.0,66,4.29,1.16,14
15,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,71/325,43,15,49,5,134,.218,.301,86.1,95,5.11,1.41,8
15,1,422.l.132070.t.12,12,Zach's Wheelers,1,94/360,52,15,55,2,161,.261,.315,82.1,94,3.17,1.21,12
15,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,92/368,61,17,60,6,170,.250,.348,106.2,105,5.48,1.43,2
15,2,422.l.132070.t.9,9,Yanier? I hardly knew her!,0,90/351,49,15,51,8,156,.256,.321,94.0,92,4.98,1.37,5
15,3,422.l.132070.t.4,4,Gabe's Babes,0,82/328,46,17,50,2,151,.250,.340,77.2,73,3.36,1.31,17
15,3,422.l.132070.t.6,6,Steak Strahmboli,1,83/334,60,19,44,5,159,.249,.343,72.2,92,3.96,1.13,13
15,4,422.l.132070.t.5,5,Dante's Nice Team,0,85/293,41,18,49,9,161,.290,.376,70.2,77,4.46,1.29,1
15,4,422.l.132070.t.7,7,David's Team,1,92/345,51,22,64,11,180,.267,.330,81.0,91,4.11,1.25,10
15,5,422.l.132070.t.8,8,Nate's Team,1,97/351,67,22,67,6,189,.276,.358,110.2,108,4.88,1.23,7
15,5,422.l.132070.t.10,10,Matt in the Hat,0,88/349,48,11,49,14,144,.252,.320,122.2,111,3.74,1.20,5
16,0,422.l.132070.t.1,1,Jose's Clock Violators,1,52/198,26,11,38,5,97,.263,.317,64.0,66,2.53,0.94,6
16,0,422.l.132070.t.12,12,Zach's Wheelers,0,58/227,26,6,31,0,87,.256,.349,53.2,49,5.53,1.47,4
16,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,49/202,32,11,35,2,93,.243,.322,60.2,47,4.90,1.62,6
16,1,422.l.132070.t.7,7,David's Team,1,66/227,43,17,51,3,128,.291,.354,56.0,49,2.41,0.96,5
16,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,61/212,31,6,23,8,94,.288,.361,60.0,59,5.70,1.53,3
16,2,422.l.132070.t.11,11,Menessin' Around,0,55/198,29,11,31,4,94,.278,.345,45.0,39,3.20,1.33,4
16,3,422.l.132070.t.4,4,Gabe's Babes,1,45/206,23,6,22,2,75,.218,.301,47.1,42,2.28,1.25,7
16,3,422.l.132070.t.5,5,Dante's Nice Team,0,52/202,23,5,27,5,80,.257,.320,38.0,39,4.26,1.37,2
16,4,422.l.132070.t.6,6,Steak Strahmboli,0,54/201,33,12,27,3,106,.269,.354,42.2,46,2.32,1.05,3
16,4,422.l.132070.t.8,8,Nate's Team,1,53/214,40,12,22,6,98,.248,.361,57.2,73,4.68,1.35,6
16,5,422.l.132070.t.9,9,Yanier? I hardly knew her!,-1,64/219,35,10,35,7,106,.292,.351,55.2,68,4.53,1.44,1
16,5,422.l.132070.t.10,10,Matt in the Hat,-1,66/233,31,6,24,9,99,.283,.353,69.2,69,4.65,1.31,6
17,0,422.l.132070.t.1,1,Jose's Clock Violators,0,47/209,23,5,17,4,72,.225,.297,66.1,63,4.07,1.19,8
17,0,422.l.132070.t.7,7,David's Team,1,62/223,37,16,43,12,121,.278,.384,50.2,59,2.84,0.95,6
17,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,51/207,23,7,22,4,85,.246,.332,61.2,71,3.65,1.20,4
17,1,422.l.132070.t.4,4,Gabe's Babes,1,73/228,43,14,37,3,129,.320,.393,41.1,48,4.57,1.28,9
17,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,69/238,44,15,36,6,134,.290,.341,67.2,62,5.99,1.51,4
17,2,422.l.132070.t.12,12,Zach's Wheelers,0,62/228,33,11,32,3,110,.272,.336,46.2,43,3.66,1.44,9
17,3,422.l.132070.t.5,5,Dante's Nice Team,0,43/164,23,7,26,8,76,.262,.317,33.1,34,6.48,1.53,0
17,3,422.l.132070.t.6,6,Steak Strahmboli,1,68/259,39,12,40,8,119,.263,.359,58.0,64,4.19,1.43,4
17,4,422.l.132070.t.8,8,Nate's Team,0,64/242,37,14,28,7,119,.264,.338,74.0,64,4.01,1.26,7
17,4,422.l.132070.t.9,9,Yanier? I hardly knew her!,1,63/234,34,17,39,7,124,.269,.351,67.0,60,3.36,1.03,1
17,5,422.l.132070.t.10,10,Matt in the Hat,1,65/253,41,10,44,14,113,.257,.324,92.1,89,4.68,1.25,3
17,5,422.l.132070.t.11,11,Menessin' Around,0,58/236,40,17,37,1,120,.246,.343,76.0,75,3.79,1.28,4
18,0,422.l.132070.t.1,1,Jose's Clock Violators,1,53/203,30,9,34,2,95,.261,.329,67.2,68,2.13,1.06,7
18,0,422.l.132070.t.4,4,Gabe's Babes,0,60/230,27,5,23,6,87,.261,.325,58.1,62,3.70,1.17,5
18,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,1,56/227,32,12,46,3,102,.247,.323,56.0,59,3.86,1.18,4
18,1,422.l.132070.t.6,6,Steak Strahmboli,0,43/203,23,11,34,2,86,.212,.293,77.2,83,3.48,1.08,3
18,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,55/211,29,9,25,3,96,.261,.333,76.0,76,2.96,1.07,7
18,2,422.l.132070.t.7,7,David's Team,1,74/244,39,13,43,5,123,.303,.383,91.2,89,4.03,1.29,4
18,3,422.l.132070.t.5,5,Dante's Nice Team,0,54/163,30,10,28,8,90,.331,.408,36.2,38,2.95,1.06,2
18,3,422.l.132070.t.8,8,Nate's Team,1,64/240,38,10,31,7,114,.267,.347,61.0,70,4.72,1.16,6
