week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
1,0,422.l.132070.t.1,1,Jose's Clock Violators,0,106/378,59,15,54,6,173,.280,.351,81.1,88,3.21,1.16,3
1,0,422.l.132070.t.3,3,Quovnobble's Unreal Team,1,109/384,53,10,37,5,171,.284,.352,89.0,93,1.82,0.99,3
1,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,87/360,48,8,36,12,126,.242,.319,76.1,72,2.36,1.19,6
1,1,422.l.132070.t.10,10,Matt in the Hat,1,79/334,49,10,30,13,130,.237,.323,89.1,103,3.93,1.38,9
1,2,422.l.132070.t.4,4,Gabe's Babes,1,82/339,58,17,55,11,149,.242,.360,82.1,80,4.15,1.37,9
1,2,422.l.132070.t.12,12,Zach's Wheelers,0,116/376,57,13,62,8,188,.309,.375,68.1,68,7.51,1.87,2
1,3,422.l.132070.t.5,5,Dante's Nice Team,-1,105/367,51,17,53,5,173,.286,.351,47.1,58,4.94,1.35,4
1,3,422.l.132070.t.9,9,Yanier? I hardly knew her!,-1,82/347,50,8,45,7,121,.236,.326,76.2,88,2.93,1.17,5
1,4,422.l.132070.t.6,6,Steak Strahmboli,0,90/344,45,10,35,12,139,.262,.339,79.2,71,3.28,1.09,2
1,4,422.l.132070.t.11,11,Menessin' Around,1,97/335,51,13,56,2,158,.290,.371,60.2,59,5.49,1.45,5
1,5,422.l.132070.t.7,7,David's Team,1,101/354,56,12,52,12,166,.285,.359,68.0,88,3.57,1.21,4
1,5,422.l.132070.t.8,8,Nate's Team,0,97/363,64,12,54,11,156,.267,.358,81.0,80,4.33,1.27,5
2,0,422.l.132070.t.1,1,Jose's Clock Violators,0,53/194,30,9,24,4,96,.273,.346,49.0,62,3.49,1.43,3
2,0,422.l.132070.t.10,10,Matt in the Hat,1,65/220,34,9,47,12,102,.295,.404,55.2,45,4.20,1.37,0
2,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,0,63/235,37,11,39,5,110,.268,.376,42.1,50,6.59,1.65,6
2,1,422.l.132070.t.9,9,Yanier? I hardly knew her!,1,80/264,45,10,50,10,130,.303,.372,42.0,44,2.79,1.17,2
2,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,55/225,34,5,25,8,82,.244,.331,55.2,55,2.10,1.08,4
2,2,422.l.132070.t.8,8,Nate's Team,1,59/227,37,8,32,3,98,.260,.341,59.1,60,3.94,1.42,5
2,3,422.l.132070.t.4,4,Gabe's Babes,-1,60/230,48,17,48,3,131,.261,.377,63.0,66,3.43,1.21,6
2,3,422.l.132070.t.7,7,David's Team,-1,71/250,31,8,33,8,114,.284,.332,68.0,72,3.31,1.13,1
2,4,422.l.132070.t.5,5,Dante's Nice Team,0,60/224,28,8,26,6,95,.268,.329,41.1,40,3.27,1.43,2
2,4,422.l.132070.t.11,11,Menessin' Around,1,57/217,29,9,33,5,100,.263,.346,46.1,55,1.36,0.78,6
2,5,422.l.132070.t.6,6,Steak Strahmboli,1,67/248,45,9,51,9,112,.270,.363,40.2,62,5.98,1.16,4
2,5,422.l.132070.t.12,12,Zach's Wheelers,0,59/224,36,4,23,3,83,.263,.333,64.1,68,4.34,1.31,2
3,0,422.l.132070.t.1,1,Jose's Clock Violators,0,58/226,26,5,28,5,90,.257,.328,50.0,49,3.06,1.16,5
3,0,422.l.132070.t.9,9,Yanier? I hardly knew her!,1,61/226,34,10,41,5,102,.270,.345,49.0,55,1.84,0.82,7
3,1,422.l.132070.t.2,2,Rhys's & Royce's ACL,1,65/241,36,11,34,6,116,.270,.354,56.1,54,6.71,1.46,6
3,1,422.l.132070.t.11,11,Menessin' Around,0,59/234,43,13,45,3,111,.252,.330,39.2,44,2.50,0.93,3
3,2,422.l.132070.t.3,3,Quovnobble's Unreal Team,0,58/229,32,9,27,3,100,.253,.310,51.0,52,7.06,1.35,5
3,2,422.l.132070.t.10,10,Matt in the Hat,1,44/210,23,11,26,6,91,.210,.298,73.0,86,2.34,1.00,8
