team_key,team_name,Expected Points,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV,Expected Rank,name,rank,playoff_seed,wins,losses,ties,percentage,games_back
422.l.132070.t.4,Gabe's Babes,1756.0,155.5,163.0,143.0,83.5,152.5,145.0,163.0,150.0,155.0,98.5,128.0,219.0,5,Gabe’s Babes,1,4,144,111,9,.563,31.5
422.l.132070.t.10,Matt in the Hat,1848.0,146.5,123.5,151.5,211.5,145.5,145.5,124.5,208.5,190.0,138.0,134.5,128.5,4,Matt in the Hat,2,1,175,79,10,.682,-
422.l.132070.t.1,Jose's Clock Violators,1560.5,108.5,132.5,115.5,90.0,122.5,129.0,125.5,155.5,160.5,135.0,113.5,172.5,8,Jose's Clock Violators,3,7,122,128,14,.489,51
422.l.132070.t.9,Yanier? I hardly knew her!,1526.0,125.5,119.5,148.5,190.5,135.0,140.0,126.0,111.0,107.5,95.5,120.5,106.5,10,Yanier? I hardly knew her!,4,6,126,131,7,.491,50.5
422.l.132070.t.7,David's Team,1862.5,171.0,161.5,175.5,179.0,185.5,157.0,149.5,136.5,133.0,128.0,125.5,160.5,3,David's Team,5,2,167,94,3,.638,11.5
422.l.132070.t.3,Quovnobble's Unreal Team,1874.5,157.5,131.5,150.5,156.0,164.0,165.0,165.5,198.0,187.5,148.5,141.0,109.5,2,Quovnobble's Unreal Team,6,5,133,122,9,.521,42.5
422.l.132070.t.8,Nate's Team,1923.0,197.5,170.5,143.0,159.0,157.0,127.0,146.0,195.0,192.0,147.0,121.5,167.5,1,Nate's Team,7,3,147,107,10,.576,28
422.l.132070.t.6,Steak Strahmboli,1550.0,141.0,138.5,117.5,154.0,116.5,121.0,146.5,102.5,125.0,127.0,111.5,149.0,9,Steak Strahmboli,8,8,124,133,7,.483,52.5
422.l.132070.t.11,Menessin' Around,1326.5,105.5,150.0,142.5,64.5,120.0,117.0,128.5,71.5,79.0,121.5,112.0,114.5,11,Menessin’ Around,9,,113,144,7,.441,63.5
422.l.132070.t.2,Rhys's & Royce's ACL,1613.0,114.5,136.0,110.5,132.0,108.0,97.5,127.0,141.5,136.0,176.0,185.5,148.5,7,Rhys’s & Royce’s ACL,10,,109,144,11,.434,65.5
422.l.132070.t.12,Zach's Wheelers,1675.0,159.5,111.5,164.5,92.0,157.0,152.5,127.5,130.5,121.5,156.0,176.0,126.5,6,Zach's Wheelers,11,,108,147,9,.426,67.5
422.l.132070.t.5,Dante's Nice Team,1141.0,55.5,100.0,75.5,126.0,74.5,141.5,108.5,37.5,51.0,167.0,168.5,35.5,12,Dante's Nice Team,12,,63,191,10,.258,112
