week,stat,teams,val
14,K,Nate's Team,84.0
14,ERA,Ohtani's Casino,2.06
14,WHIP,"Burger Witt Frys,Ohtani's Casino",0.9
14,SV,"Since You've Been Kwan,Jahn's EnDevers,Gabe's Team,This Means Schwar",7.0
15,R,David's Team,54.0
15,HR,"Gabe's Team,Bohms Away,David's Team,This Means Schwar",18.0
15,RBI,David's Team,58.0
15,SB,Ohtani's Casino,14.0
15,TB,David's Team,181.0
15,AVG,David's Team,0.306
15,OBP,David's Team,0.37
15,IP,Matt's Team,105.2
15,K,Matt's Team,96.0
15,ERA,This Means Schwar,1.91
15,WHIP,Burger Witt Frys,0.96
15,SV,Jahn's EnDevers,18.0
16,R,David's Team,43.0
16,HR,David's Team,14.0
16,RBI,David's Team,43.0
16,SB,Ohtani's Casino,15.0
16,TB,David's Team,119.0
16,AVG,David's Team,0.297
16,OBP,David's Team,0.391
16,IP,Matt's Team,72.1
16,K,Shawty Got Soto,67.0
16,ERA,Burger Witt Frys,2.08
16,WHIP,Bohms Away,0.92
16,SV,Bohms Away,7.0
17,R,Shawty Got Soto,51.0
17,HR,"Shawty Got Soto,Gabe's Team",16.0
17,RBI,Gabe's Team,48.0
17,SB,Since You've Been Kwan,14.0
17,TB,"Shawty Got Soto,Gabe's Team",134.0
17,AVG,Shawty Got Soto,0.313
17,OBP,Shawty Got Soto,0.374
17,IP,Nate's Team,74.1
17,K,Since You've Been Kwan,71.0
17,ERA,Ohtani's Casino,3.26
17,WHIP,Jose Ferrer (Bud Black),1.07
17,SV,"Nate's Team,This Means Schwar",6.0
18,R,Burger Witt Frys,43.0
18,HR,"Shawty Got Soto,Gabe's Team,Nate's Team",15.0
18,RBI,Burger Witt Frys,45.0
18,SB,"Jahn's EnDevers,This Means Schwar",10.0
18,TB,Burger Witt Frys,128.0
18,AVG,David's Team,0.319
18,OBP,Matt's Team,0.387
18,IP,Burger Witt Frys,66.1
18,K,Mr. Castillo Girl,86.0
18,ERA,Bohms Away,2.23
18,WHIP,Bohms Away,0.89
18,SV,Nate's Team,8.0
19,R,Shawty Got Soto,35.0
19,HR,Arraez Con Pollo,13.0
19,RBI,Bohms Away,37.0
19,SB,Shawty Got Soto,10.0
19,TB,Arraez Con Pollo,105.0
19,AVG,Shawty Got Soto,0.298
19,OBP,Shawty Got Soto,0.401
19,IP,Matt's Team,77.1
19,K,Matt's Team,74.0
19,ERA,Bohms Away,1.58
19,WHIP,Bohms Away,0.83
19,SV,Bohms Away,7.0
20,R,Arraez Con Pollo,41.0
20,HR,Arraez Con Pollo,12.0
20,RBI,Burger Witt Frys,43.0
20,SB,Since You've Been Kwan,9.0
20,TB,Arraez Con Pollo,114.0
20,AVG,Ohtani's Casino,0.283
20,OBP,Arraez Con Pollo,0.358
20,IP,Jose Ferrer (Bud Black),75.2
20,K,Jose Ferrer (Bud Black),87.0
20,ERA,This Means Schwar,1.94
20,WHIP,Bohms Away,0.81
20,SV,Nate's Team,10.0
21,R,Arraez Con Pollo,50.0
21,HR,Arraez Con Pollo,16.0
21,RBI,Burger Witt Frys,46.0
21,SB,Bohms Away,12.0
21,TB,Arraez Con Pollo,141.0
21,AVG,Arraez Con Pollo,0.33
21,OBP,Arraez Con Pollo,0.395
21,IP,Gabe's Team,76.0
21,K,David's Team,76.0
21,ERA,Shawty Got Soto,2.04
21,WHIP,Shawty Got Soto,0.98
21,SV,Nate's Team,8.0
