week,stat,teams,val
1,R,Since You've Been Kwan,64.0
1,HR,Since You've Been Kwan,19.0
1,RBI,Burger Witt Frys,63.0
1,SB,Arraez Con Pollo,13.0
1,TB,Since You've Been Kwan,183.0
1,AVG,"Since You've Been Kwan,Matt's Team",0.276
1,OBP,Nate's Team,0.362
1,IP,Mr. Castillo Girl,96.1
1,K,Mr. Castillo Girl,101.0
1,ERA,Arraez Con Pollo,1.96
1,WHIP,"Shawty Got Soto,Nate's Team",0.96
1,SV,Shawty Got Soto,11.0
2,R,Since You've Been Kwan,47.0
2,HR,Since You've Been Kwan,14.0
2,RBI,Shawty Got Soto,44.0
2,SB,Mr. Castillo Girl,11.0
2,TB,Arraez Con Pollo,123.0
2,AVG,Shawty Got Soto,0.321
2,OBP,Shawty Got Soto,0.4
2,IP,Matt's Team,79.0
2,K,Mr. Castillo Girl,81.0
2,ERA,Jose Ferrer (Bud Black),2.56
2,WHIP,Burger Witt Frys,1.03
2,SV,Mr. Castillo Girl,6.0
3,R,Gabe's Team,42.0
3,HR,Bohms Away,14.0
3,RBI,Bohms Away,41.0
3,SB,Arraez Con Pollo,13.0
3,TB,Bohms Away,116.0
3,AVG,David's Team,0.307
3,OBP,Ohtani's Casino,0.39
3,IP,Matt's Team,64.2
3,K,Mr. Castillo Girl,72.0
3,ERA,Jahn's EnDevers,1.43
3,WHIP,Shawty Got Soto,0.85
3,SV,"Shawty Got Soto,Bohms Away",10.0
4,R,Bohms Away,47.0
4,HR,Matt's Team,14.0
4,RBI,Bohms Away,44.0
4,SB,Burger Witt Frys,12.0
4,TB,Bohms Away,135.0
4,AVG,Bohms Away,0.323
4,OBP,Shawty Got Soto,0.393
4,IP,Matt's Team,75.1
4,K,Burger Witt Frys,83.0
4,ERA,Shawty Got Soto,1.67
4,WHIP,This Means Schwar,0.87
4,SV,Nate's Team,12.0
5,R,Arraez Con Pollo,38.0
5,HR,Since You've Been Kwan,11.0
5,RBI,David's Team,39.0
5,SB,Arraez Con Pollo,9.0
5,TB,"Jahn's EnDevers,Since You've Been Kwan",108.0
5,AVG,Jahn's EnDevers,0.295
5,OBP,Ohtani's Casino,0.381
5,IP,Shawty Got Soto,68.0
5,K,Mr. Castillo Girl,75.0
5,ERA,This Means Schwar,1.73
5,WHIP,"Mr. Castillo Girl,This Means Schwar",0.9
5,SV,Matt's Team,8.0
6,R,Ohtani's Casino,36.0
6,HR,"Since You've Been Kwan,This Means Schwar",12.0
6,RBI,Ohtani's Casino,44.0
6,SB,Ohtani's Casino,13.0
6,TB,This Means Schwar,114.0
6,AVG,Shawty Got Soto,0.313
6,OBP,Shawty Got Soto,0.403
6,IP,Mr. Castillo Girl,75.1
6,K,David's Team,85.0
6,ERA,Matt's Team,2.54
6,WHIP,This Means Schwar,1.02
6,SV,Matt's Team,8.0
7,R,Arraez Con Pollo,40.0
7,HR,Shawty Got Soto,11.0
7,RBI,Ohtani's Casino,34.0
7,SB,Ohtani's Casino,14.0
7,TB,"Shawty Got Soto,Arraez Con Pollo",113.0
7,AVG,Jahn's EnDevers,0.281
7,OBP,Matt's Team,0.368
7,IP,Jahn's EnDevers,78.0
7,K,Jahn's EnDevers,69.0
7,ERA,Gabe's Team,2.08
7,WHIP,Ohtani's Casino,0.92
7,SV,"Jahn's EnDevers,Nate's Team",6.0
8,R,Burger Witt Frys,40.0
8,HR,Burger Witt Frys,18.0
8,RBI,Burger Witt Frys,39.0
8,SB,Matt's Team,10.0
8,TB,Burger Witt Frys,120.0
8,AVG,Since You've Been Kwan,0.288
8,OBP,Since You've Been Kwan,0.357
8,IP,Matt's Team,87.0
8,K,Nate's Team,85.0
8,ERA,Gabe's Team,1.87
8,WHIP,Gabe's Team,0.91
8,SV,Bohms Away,10.0
9,R,Shawty Got Soto,42.0
9,HR,"Shawty Got Soto,Matt's Team,This Means Schwar",11.0
9,RBI,Shawty Got Soto,39.0
9,SB,Mr. Castillo Girl,8.0
9,TB,Shawty Got Soto,113.0
9,AVG,Jahn's EnDevers,0.289
9,OBP,Jahn's EnDevers,0.362
9,IP,Shawty Got Soto,76.1
9,K,Mr. Castillo Girl,79.0
9,ERA,Nate's Team,2.72
9,WHIP,Burger Witt Frys,0.96
9,SV,Matt's Team,11.0
10,R,Since You've Been Kwan,40.0
10,HR,Nate's Team,13.0
10,RBI,Matt's Team,38.0
10,SB,Shawty Got Soto,14.0
10,TB,Matt's Team,119.0
10,AVG,Matt's Team,0.301
10,OBP,Nate's Team,0.397
10,IP,Matt's Team,77.1
10,K,Burger Witt Frys,80.0
10,ERA,Jahn's EnDevers,2.19
10,WHIP,Jahn's EnDevers,0.85
10,SV,"Bohms Away,Arraez Con Pollo",6.0
11,R,Gabe's Team,41.0
11,HR,"Gabe's Team,This Means Schwar",13.0
11,RBI,Gabe's Team,45.0
11,SB,Shawty Got Soto,11.0
11,TB,Gabe's Team,125.0
11,AVG,Nate's Team,0.296
11,OBP,Gabe's Team,0.366
11,IP,Gabe's Team,83.2
11,K,Matt's Team,67.0
11,ERA,Bohms Away,2.48
11,WHIP,David's Team,0.99
11,SV,Bohms Away,12.0
12,R,Gabe's Team,43.0
12,HR,Bohms Away,15.0
12,RBI,Matt's Team,48.0
12,SB,"Shawty Got Soto,Mr. Castillo Girl",9.0
12,TB,Bohms Away,130.0
12,AVG,"Shawty Got Soto,Gabe's Team",0.306
12,OBP,Shawty Got Soto,0.39
12,IP,Arraez Con Pollo,73.2
12,K,Mr. Castillo Girl,68.0
12,ERA,Bohms Away,1.27
12,WHIP,Bohms Away,0.83
12,SV,"David's Team,Bohms Away",9.0
13,R,Gabe's Team,42.0
13,HR,Bohms Away,14.0
13,RBI,Bohms Away,46.0
13,SB,"Ohtani's Casino,Since You've Been Kwan",8.0
13,TB,Mr. Castillo Girl,129.0
13,AVG,Mr. Castillo Girl,0.318
13,OBP,Mr. Castillo Girl,0.396
13,IP,Mr. Castillo Girl,76.1
13,K,Gabe's Team,77.0
13,ERA,Jahn's EnDevers,0.86
13,WHIP,Jahn's EnDevers,0.8
13,SV,"This Means Schwar,Arraez Con Pollo",6.0
14,R,Matt's Team,42.0
14,HR,"Burger Witt Frys,Mr. Castillo Girl",15.0
14,RBI,Burger Witt Frys,45.0
14,SB,Ohtani's Casino,10.0
14,TB,Burger Witt Frys,125.0
14,AVG,Burger Witt Frys,0.306
14,OBP,Nate's Team,0.373
14,IP,Matt's Team,76.0
