week,matchup_id,team_key,team_id,team_name,result,H/AB,R,HR,RBI,SB,TB,AVG,OBP,IP,K,ERA,WHIP,SV
1,0,458.l.72362.t.1,1,50 Shades of Greene,1,87/319,50,10,40,6,137,.273,.364,54.2,59,3.29,1.19,4
1,0,458.l.72362.t.13,13,Dawson's Team,0,74/320,41,7,26,11,113,.231,.292,77.2,77,4.06,1.26,5
1,1,458.l.72362.t.2,2,Jahn's Team,0,87/362,50,12,42,12,134,.240,.299,57.0,66,4.74,1.42,7
1,1,458.l.72362.t.9,9,Matt's Team,1,83/345,61,24,63,7,175,.241,.332,109.2,104,4.68,1.29,3
1,2,458.l.72362.t.3,3,Mr. Castillo Girl,1,96/339,52,14,64,8,162,.283,.358,78.1,81,2.87,1.21,6
1,2,458.l.72362.t.10,10,Ian's Team,0,92/360,47,17,56,12,156,.256,.312,63.2,47,2.54,1.19,9
1,3,458.l.72362.t.4,4,Gabe's Team,1,80/353,45,16,50,3,142,.227,.307,78.0,89,3.12,1.08,11
1,3,458.l.72362.t.12,12,Woo-Tang Clan,0,74/335,52,13,36,10,132,.221,.322,92.0,98,3.72,1.15,10
1,4,458.l.72362.t.5,5,Dante's Team,1,87/368,61,20,59,14,165,.236,.324,60.2,72,2.37,1.05,5
1,4,458.l.72362.t.8,8,Turang-a Leela,0,90/352,46,8,48,11,132,.256,.318,71.0,70,3.93,1.13,4
1,5,458.l.72362.t.6,6,David's Team,0,91/390,54,10,45,10,148,.233,.304,70.2,77,4.33,1.23,4
1,5,458.l.72362.t.7,7,Nate's Team,1,94/367,59,19,51,9,174,.256,.331,88.1,90,2.34,0.95,6
1,6,458.l.72362.t.11,11,Clase Closers,1,77/322,52,20,58,12,157,.239,.332,55.0,72,3.60,1.05,9
1,6,458.l.72362.t.14,14,WhatchYusei,0,93/367,45,15,49,8,161,.253,.313,82.2,72,4.68,1.26,6
2,0,458.l.72362.t.1,1,50 Shades of Greene,0,47/192,20,3,25,7,72,.245,.308,57.2,49,1.87,0.99,4
2,0,458.l.72362.t.8,8,Turang-a Leela,1,59/232,37,10,38,8,100,.254,.328,33.2,35,2.14,0.92,0
2,1,458.l.72362.t.2,2,Jahn's Team,1,49/222,29,12,24,2,94,.221,.312,25.1,27,1.07,1.14,3
2,1,458.l.72362.t.13,13,Dawson's Team,0,40/193,22,5,16,18,60,.207,.305,66.0,70,4.09,1.09,8
2,2,458.l.72362.t.3,3,Mr. Castillo Girl,1,48/218,23,8,21,5,81,.220,.306,73.0,79,3.33,1.10,6
2,2,458.l.72362.t.7,7,Nate's Team,0,37/220,25,1,9,4,49,.168,.269,73.2,76,2.81,1.05,1
2,3,458.l.72362.t.4,4,Gabe's Team,1,54/217,28,10,30,4,96,.249,.322,51.1,55,4.73,1.54,6
2,3,458.l.72362.t.10,10,Ian's Team,0,44/192,22,6,27,1,72,.229,.288,40.0,31,4.73,1.20,6
2,4,458.l.72362.t.5,5,Dante's Team,-1,55/224,29,7,32,6,92,.246,.317,35.0,31,5.14,1.26,3
2,4,458.l.72362.t.11,11,Clase Closers,-1,51/217,37,5,27,4,82,.235,.311,42.2,43,4.43,1.24,10
2,5,458.l.72362.t.6,6,David's Team,0,43/210,27,7,28,5,76,.205,.283,35.2,33,3.28,1.07,3
2,5,458.l.72362.t.14,14,WhatchYusei,1,65/228,36,9,44,8,107,.285,.349,48.1,49,1.86,0.99,3
2,6,458.l.72362.t.9,9,Matt's Team,-1,58/213,20,5,23,8,82,.272,.352,56.0,47,1.77,0.91,1
2,6,458.l.72362.t.12,12,Woo-Tang Clan,-1,59/237,29,14,29,3,113,.249,.317,37.0,40,0.97,0.95,3
